INFO:pso:Using device: cuda
INFO:pso:Iteration 71/100, Training Accuracy: 0.6666, Validation Accuracy: 0.6194
INFO:pso:Iteration 72/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 73/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 74/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 75/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 76/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 77/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 78/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 79/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 80/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 81/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 82/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 83/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 84/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 85/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 86/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 87/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 88/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 89/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 90/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 91/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 92/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 93/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 94/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 95/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 96/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 97/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 98/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 99/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:pso:Iteration 100/100, Training Accuracy: 0.6667, Validation Accuracy: 0.6194
INFO:__main__:Training time: 3.2881 seconds
INFO:__main__:Training Accuracy: 0.6667 Validation Accuracy: 0.6194
