INFO:util:Preprocessing dataset: species
INFO:pso:Using device: cpu
INFO:pso:Iteration 69/1000, Training Accuracy: 0.8053, Validation Accuracy: 0.7842
INFO:pso:Iteration 70/1000, Training Accuracy: 0.8053, Validation Accuracy: 0.7842
INFO:pso:Iteration 71/1000, Training Accuracy: 0.8061, Validation Accuracy: 0.7850
INFO:pso:Iteration 72/1000, Training Accuracy: 0.8068, Validation Accuracy: 0.7857
INFO:pso:Iteration 73/1000, Training Accuracy: 0.8073, Validation Accuracy: 0.7862
INFO:pso:Iteration 74/1000, Training Accuracy: 0.8077, Validation Accuracy: 0.7866
INFO:pso:Iteration 75/1000, Training Accuracy: 0.8077, Validation Accuracy: 0.7866
INFO:pso:Iteration 76/1000, Training Accuracy: 0.8080, Validation Accuracy: 0.7869
INFO:pso:Iteration 77/1000, Training Accuracy: 0.8082, Validation Accuracy: 0.7871
INFO:pso:Iteration 78/1000, Training Accuracy: 0.8083, Validation Accuracy: 0.7872
INFO:pso:Iteration 79/1000, Training Accuracy: 0.8085, Validation Accuracy: 0.7874
INFO:pso:Iteration 80/1000, Training Accuracy: 0.8085, Validation Accuracy: 0.7874
INFO:pso:Iteration 81/1000, Training Accuracy: 0.8085, Validation Accuracy: 0.7874
INFO:pso:Iteration 82/1000, Training Accuracy: 0.8086, Validation Accuracy: 0.7875
INFO:pso:Iteration 83/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7875
INFO:pso:Iteration 84/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7875
INFO:pso:Iteration 85/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7875
INFO:pso:Iteration 86/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7875
INFO:pso:Iteration 87/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7875
INFO:pso:Iteration 88/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7875
INFO:pso:Iteration 89/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7875
INFO:pso:Iteration 90/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7875
INFO:pso:Iteration 91/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7876
INFO:pso:Iteration 92/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7876
INFO:pso:Iteration 93/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7876
INFO:pso:Iteration 94/1000, Training Accuracy: 0.8087, Validation Accuracy: 0.7876
INFO:pso:Iteration 95/1000, Training Accuracy: 0.8088, Validation Accuracy: 0.7876
INFO:pso:Iteration 96/1000, Training Accuracy: 0.8089, Validation Accuracy: 0.7878
INFO:pso:Iteration 97/1000, Training Accuracy: 0.8089, Validation Accuracy: 0.7878
INFO:pso:Iteration 98/1000, Training Accuracy: 0.8089, Validation Accuracy: 0.7878
INFO:pso:Iteration 99/1000, Training Accuracy: 0.8089, Validation Accuracy: 0.7878
INFO:pso:Iteration 100/1000, Training Accuracy: 0.8090, Validation Accuracy: 0.7879
INFO:pso:Iteration 101/1000, Training Accuracy: 0.8090, Validation Accuracy: 0.7879
INFO:pso:Iteration 102/1000, Training Accuracy: 0.8092, Validation Accuracy: 0.7880
INFO:pso:Iteration 103/1000, Training Accuracy: 0.8092, Validation Accuracy: 0.7880
INFO:pso:Iteration 104/1000, Training Accuracy: 0.8092, Validation Accuracy: 0.7880
INFO:pso:Iteration 105/1000, Training Accuracy: 0.8092, Validation Accuracy: 0.7881
INFO:pso:Iteration 106/1000, Training Accuracy: 0.8092, Validation Accuracy: 0.7881
INFO:pso:Iteration 107/1000, Training Accuracy: 0.8092, Validation Accuracy: 0.7881
INFO:pso:Iteration 108/1000, Training Accuracy: 0.8093, Validation Accuracy: 0.7881
INFO:pso:Iteration 109/1000, Training Accuracy: 0.8093, Validation Accuracy: 0.7881
INFO:pso:Iteration 110/1000, Training Accuracy: 0.8093, Validation Accuracy: 0.7881
INFO:pso:Iteration 111/1000, Training Accuracy: 0.8093, Validation Accuracy: 0.7882
INFO:pso:Iteration 112/1000, Training Accuracy: 0.8093, Validation Accuracy: 0.7882
INFO:pso:Iteration 113/1000, Training Accuracy: 0.8094, Validation Accuracy: 0.7882
INFO:pso:Iteration 114/1000, Training Accuracy: 0.8094, Validation Accuracy: 0.7883
INFO:pso:Iteration 115/1000, Training Accuracy: 0.8095, Validation Accuracy: 0.7884
INFO:pso:Iteration 116/1000, Training Accuracy: 0.8095, Validation Accuracy: 0.7884
INFO:pso:Iteration 117/1000, Training Accuracy: 0.8095, Validation Accuracy: 0.7884
INFO:pso:Iteration 118/1000, Training Accuracy: 0.8096, Validation Accuracy: 0.7884
INFO:pso:Iteration 119/1000, Training Accuracy: 0.8096, Validation Accuracy: 0.7885
INFO:pso:Iteration 120/1000, Training Accuracy: 0.8096, Validation Accuracy: 0.7885
INFO:pso:Iteration 121/1000, Training Accuracy: 0.8097, Validation Accuracy: 0.7885
INFO:pso:Iteration 122/1000, Training Accuracy: 0.8097, Validation Accuracy: 0.7886
INFO:pso:Iteration 123/1000, Training Accuracy: 0.8098, Validation Accuracy: 0.7886
INFO:pso:Iteration 124/1000, Training Accuracy: 0.8098, Validation Accuracy: 0.7887
INFO:pso:Iteration 125/1000, Training Accuracy: 0.8099, Validation Accuracy: 0.7887
INFO:pso:Iteration 126/1000, Training Accuracy: 0.8099, Validation Accuracy: 0.7888
INFO:pso:Iteration 127/1000, Training Accuracy: 0.8099, Validation Accuracy: 0.7888
INFO:pso:Iteration 128/1000, Training Accuracy: 0.8100, Validation Accuracy: 0.7888
INFO:pso:Iteration 129/1000, Training Accuracy: 0.8100, Validation Accuracy: 0.7889
INFO:pso:Iteration 130/1000, Training Accuracy: 0.8100, Validation Accuracy: 0.7889
INFO:pso:Iteration 131/1000, Training Accuracy: 0.8100, Validation Accuracy: 0.7889
INFO:pso:Iteration 132/1000, Training Accuracy: 0.8101, Validation Accuracy: 0.7890
