Dataset,Method,Test Accuracy,Train Accuracy,Runtime
cross-species,ensemble,0.8388888888888889,0.900925925925926,0
cross-species,ensemble,0.8319444444444444,0.9479166666666666,0
cross-species,ensemble,0.8268518518518518,0.830324074074074,0
cross-species,ensemble,0.8217592592592592,0.8865740740740741,0
cross-species,kan,0.8032407407407406,0.7497685185185184,0
cross-species,kan,0.7981481481481482,0.8282407407407408,0
cross-species,kan,0.7967592592592593,0.8120370370370371,0
cross-species,kan,0.7962962962962963,0.8569444444444444,0
cross-species,kan,0.7925925925925926,0.7368055555555556,0
cross-species,kan,0.7856481481481481,0.8300925925925925,0
cross-species,kan,0.7837962962962964,0.7773148148148148,0
cross-species,kan,0.7837962962962962,0.7814814814814813,0
cross-species,kan,0.7824074074074073,0.8111111111111112,0
cross-species,kan,0.7814814814814813,0.7898148148148149,0
cross-species,kan,0.7810185185185184,0.8245370370370372,0
cross-species,kan,0.7805555555555556,0.8368055555555555,0
cross-species,kan,0.7796296296296297,0.7692129629629628,0
cross-species,kan,0.7759259259259258,0.718287037037037,0
cross-species,kan,0.775,0.8064814814814816,0
cross-species,kan,0.7749999999999999,0.8358796296296297,0
cross-species,kan,0.774074074074074,0.8414351851851852,0
cross-species,kan,0.7736111111111112,0.6863425925925926,0
cross-species,kan,0.7685185185185185,0.8379629629629629,0
cross-species,kan,0.7680555555555556,0.7773148148148148,0
cross-species,kan,0.7606481481481482,0.7863425925925926,0
cross-species,kan,0.7583333333333333,0.6884259259259259,0
cross-species,kan,0.7550925925925926,0.779398148148148,0
cross-species,kan,0.7527777777777778,0.7337962962962963,0
cross-species,kan,0.7518518518518519,0.8166666666666668,0
cross-species,kan,0.751388888888889,0.7918981481481482,0
cross-species,kan,0.736574074074074,0.8185185185185185,0
cross-species,kan,0.7310185185185185,0.642824074074074,0
cross-species,kan,0.7087962962962963,0.6027777777777777,0
cross-species,kan,0.686111111111111,0.5787037037037037,0
cross-species,knn,0.7250000000000001,0.8196759259259259,0
cross-species,knn,0.7189814814814813,0.8231481481481481,0
cross-species,knn,0.7166666666666667,0.7842592592592593,0
cross-species,knn,0.7148148148148149,0.794675925925926,0
cross-species,knn,0.7138888888888889,0.805787037037037,0
cross-species,knn,0.702314814814815,0.8006944444444445,0
cross-species,knn,0.6990740740740741,0.7974537037037037,0
cross-species,knn,0.6958333333333333,0.8210648148148149,0
cross-species,knn,0.6944444444444443,0.793287037037037,0
cross-species,knn,0.6939814814814814,0.8009259259259259,0
cross-species,knn,0.6916666666666668,0.8266203703703704,0
cross-species,knn,0.6912037037037039,0.7902777777777779,0
cross-species,knn,0.6888888888888888,0.7912037037037037,0
cross-species,knn,0.687037037037037,0.8097222222222222,0
cross-species,knn,0.6856481481481481,0.775,0
cross-species,knn,0.6847222222222222,0.7939814814814815,0
cross-species,knn,0.6810185185185186,0.7863425925925926,0
cross-species,knn,0.6773148148148148,0.7995370370370369,0
cross-species,knn,0.6666666666666666,0.7826388888888888,0
cross-species,knn,0.6662037037037036,0.8060185185185184,0
cross-species,knn,0.6643518518518519,0.799074074074074,0
cross-species,knn,0.6592592592592593,0.8074074074074075,0
cross-species,knn,0.6574074074074074,0.8157407407407408,0
cross-species,knn,0.6560185185185184,0.8034722222222223,0
cross-species,knn,0.6523148148148148,0.7872685185185185,0
cross-species,knn,0.6513888888888889,0.8039351851851851,0
cross-species,knn,0.6472222222222221,0.8171296296296297,0
cross-species,knn,0.6467592592592593,0.8178240740740742,0
cross-species,knn,0.6462962962962964,0.7999999999999999,0
cross-species,knn,0.6342592592592594,0.7891203703703704,0
cross-species,lda,0.8328703703703703,0.8636574074074074,0
