Name,State,Created,Runtime,dataset,model,train_balanced_accuracy,val_balanced_accuracy,summary,config
pious-bush-1764,finished,2026-02-12T03:09:27.000Z,26,species,dt,1,0.98125,,
dainty-fog-1768,finished,2026-02-12T03:11:14.000Z,26,species,dt,1,0.98125,,
easy-cloud-1757,finished,2026-02-12T03:06:19.000Z,26,species,dt,1,0.98125,,
driven-dust-1783,finished,2026-02-12T03:18:59.000Z,28,species,dt,1,0.98125,,
zany-sea-1780,finished,2026-02-12T03:17:27.000Z,31,species,dt,1,0.9458333333333332,,
fine-frost-1778,finished,2026-02-12T03:16:26.000Z,30,species,dt,1,0.9333333333333332,,
pretty-butterfly-1885,finished,2026-02-12T04:14:05.000Z,28,species,rf,1,1,,
lilac-planet-1882,finished,2026-02-12T04:12:42.000Z,27,species,rf,1,0.9916666666666668,,
driven-field-1901,finished,2026-02-12T04:21:33.000Z,27,species,rf,1,0.9916666666666668,,
dandy-wildflower-1878,finished,2026-02-12T04:10:50.000Z,28,species,rf,1,0.9833333333333334,,
dazzling-night-1890,finished,2026-02-12T04:16:25.000Z,27,species,rf,1,0.9833333333333334,,
dulcet-dragon-1896,finished,2026-02-12T04:19:13.000Z,26,species,rf,1,0.9833333333333334,,
expert-smoke-1891,finished,2026-02-12T04:16:53.000Z,27,species,rf,1,0.9833333333333334,,
fiery-brook-1883,finished,2026-02-12T04:13:10.000Z,27,species,rf,1,0.9833333333333334,,
ancient-pine-1875,finished,2026-02-12T04:09:26.000Z,27,species,rf,1,0.975,,
deft-sponge-1892,finished,2026-02-12T04:17:21.000Z,26,species,rf,1,0.975,,
vibrant-gorge-1874,finished,2026-02-12T04:08:58.000Z,27,species,rf,1,0.975,,
skilled-forest-1893,finished,2026-02-12T04:17:48.000Z,27,species,rf,1,0.975,,
vocal-snowball-1895,finished,2026-02-12T04:18:44.000Z,28,species,rf,1,0.975,,
rosy-rain-1884,finished,2026-02-12T04:13:38.000Z,26,species,rf,1,0.975,,
mild-aardvark-1903,finished,2026-02-12T04:22:30.000Z,27,species,rf,1,0.975,,
fresh-music-1894,finished,2026-02-12T04:18:16.000Z,27,species,rf,1,0.975,,
jolly-valley-1897,finished,2026-02-12T04:19:40.000Z,27,species,rf,1,0.975,,
absurd-firefly-1900,finished,2026-02-12T04:21:05.000Z,27,species,rf,1,0.975,,
treasured-fog-1902,finished,2026-02-12T04:22:01.000Z,28,species,rf,1,0.9729166666666668,,
stilted-surf-1889,finished,2026-02-12T04:15:57.000Z,27,species,rf,1,0.9729166666666668,,
hardy-wind-1887,finished,2026-02-12T04:15:01.000Z,27,species,rf,1,0.9729166666666668,,
wise-wave-1879,finished,2026-02-12T04:11:18.000Z,27,species,rf,1,0.9666666666666668,,
magic-universe-1898,finished,2026-02-12T04:20:08.000Z,27,species,rf,1,0.9666666666666668,,
jolly-universe-1877,finished,2026-02-12T04:10:22.000Z,28,species,rf,1,0.9666666666666668,,
ethereal-glade-1880,finished,2026-02-12T04:11:46.000Z,27,species,rf,1,0.9645833333333332,,
radiant-bird-1881,finished,2026-02-12T04:12:14.000Z,27,species,rf,1,0.9583333333333334,,
crimson-sunset-1899,finished,2026-02-12T04:20:36.000Z,28,species,rf,1,0.95625,,
breezy-water-1888,finished,2026-02-12T04:15:29.000Z,27,species,rf,1,0.9479166666666666,,
autumn-deluge-1886,finished,2026-02-12T04:14:34.000Z,26,species,rf,1,0.9479166666666666,,
desert-durian-1876,finished,2026-02-12T04:09:54.000Z,27,species,rf,1,0.9229166666666666,,
toasty-lake-3120,finished,2026-02-13T03:36:48.000Z,64,species,transformer,0.5791666666666667,0.9916666666666668,,
neat-frost-3121,finished,2026-02-13T03:37:53.000Z,62,species,transformer,0.9479166666666666,0.9916666666666668,,
fallen-plant-3116,finished,2026-02-13T03:32:49.000Z,60,species,transformer,0.8458333333333333,0.9916666666666668,,
fresh-mountain-3115,finished,2026-02-13T03:31:49.000Z,59,species,transformer,0.9708333333333332,0.9895833333333334,,
restful-donkey-3134,finished,2026-02-13T03:51:29.000Z,64,species,transformer,0.9520833333333334,0.9895833333333334,,
warm-lake-3112,finished,2026-02-13T03:29:26.000Z,44,species,transformer,0.9364583333333334,0.9833333333333334,,
fearless-forest-3132,finished,2026-02-13T03:49:27.000Z,60,species,transformer,0.7791666666666668,0.9833333333333334,,
easy-cherry-3136,finished,2026-02-13T03:53:41.000Z,63,species,transformer,0.6333333333333333,0.9833333333333334,,
celestial-sunset-3118,finished,2026-02-13T03:34:51.000Z,57,species,transformer,0.6239583333333334,0.9833333333333334,,
likely-bee-3111,finished,2026-02-13T03:28:35.000Z,50,species,transformer,0.9416666666666668,0.9833333333333334,,
fine-oath-3119,finished,2026-02-13T03:35:50.000Z,57,species,transformer,0.8145833333333333,0.9833333333333334,,
firm-silence-3126,finished,2026-02-13T03:43:07.000Z,60,species,transformer,0.9343749999999998,0.98125,,
sweet-firebrand-3122,finished,2026-02-13T03:38:57.000Z,62,species,transformer,0.9385416666666666,0.98125,,
different-plant-3139,finished,2026-02-13T03:56:56.000Z,65,species,transformer,0.7937500000000001,0.9791666666666666,,
glad-lion-3113,finished,2026-02-13T03:30:12.000Z,46,species,transformer,0.921875,0.975,,
dandy-surf-3131,finished,2026-02-13T03:48:23.000Z,62,species,transformer,0.9375,0.9729166666666668,,
winter-paper-3140,finished,2026-02-13T03:58:03.000Z,64,species,transformer,0.8468750000000002,0.9729166666666668,,
sunny-monkey-3133,finished,2026-02-13T03:50:28.000Z,59,species,transformer,0.8166666666666668,0.9729166666666668,,
balmy-lake-3138,finished,2026-02-13T03:55:50.000Z,64,species,transformer,0.9083333333333332,0.9729166666666668,,
colorful-silence-3117,finished,2026-02-13T03:33:51.000Z,58,species,transformer,0.8927083333333333,0.9708333333333332,,
clean-smoke-3123,finished,2026-02-13T03:40:00.000Z,64,species,transformer,0.8958333333333334,0.9708333333333332,,
gallant-feather-3128,finished,2026-02-13T03:45:12.000Z,62,species,transformer,0.81875,0.9666666666666668,,
rose-jazz-3114,finished,2026-02-13T03:30:59.000Z,49,species,transformer,0.7291666666666666,0.9666666666666668,,
dauntless-eon-3124,finished,2026-02-13T03:41:05.000Z,57,species,transformer,0.9093750000000002,0.9666666666666668,,
morning-firefly-3135,finished,2026-02-13T03:52:35.000Z,65,species,transformer,0.7020833333333334,0.9645833333333332,,
blooming-resonance-3130,finished,2026-02-13T03:47:19.000Z,63,species,transformer,0.8020833333333334,0.9645833333333332,,
helpful-shadow-3129,finished,2026-02-13T03:46:16.000Z,62,species,transformer,0.8572916666666668,0.9625,,
hopeful-planet-3125,finished,2026-02-13T03:42:03.000Z,62,species,transformer,0.8614583333333332,0.95625,,
likely-breeze-3137,finished,2026-02-13T03:54:45.000Z,63,species,transformer,0.934375,0.9541666666666666,,
rich-sea-3127,finished,2026-02-13T03:44:08.000Z,62,species,transformer,0.9385416666666666,0.9458333333333332,,
scarlet-elevator-1784,finished,2026-02-12T03:19:28.000Z,31,species,lr,1,0.9916666666666668,,
fanciful-silence-1791,finished,2026-02-12T03:23:10.000Z,30,species,lr,1,0.9916666666666668,,
vague-pyramid-1793,finished,2026-02-12T03:24:15.000Z,30,species,lr,1,0.9833333333333334,,
efficient-flower-1788,finished,2026-02-12T03:21:34.000Z,31,species,lr,1,0.98125,,
