INFO:ga:Generation 1: Best=0.5000, Avg=0.2395
INFO:ga:Generation 2: Best=0.5000, Avg=0.2907
INFO:ga:Generation 3: Best=0.5833, Avg=0.3346
INFO:ga:Generation 4: Best=0.5833, Avg=0.3753
INFO:ga:Generation 5: Best=0.5833, Avg=0.4086
INFO:ga:Generation 6: Best=0.5833, Avg=0.4333
INFO:ga:Generation 7: Best=0.5833, Avg=0.4554
INFO:ga:Generation 8: Best=0.6250, Avg=0.4840
INFO:ga:Generation 9: Best=0.6458, Avg=0.5100
INFO:ga:Generation 10: Best=0.6458, Avg=0.5357
INFO:ga:Generation 11: Best=0.6667, Avg=0.5532
INFO:ga:Generation 12: Best=0.6667, Avg=0.5723
INFO:ga:Generation 13: Best=0.6667, Avg=0.5849
INFO:ga:Generation 14: Best=0.6667, Avg=0.5992
INFO:ga:Generation 15: Best=0.7083, Avg=0.6101
INFO:ga:Generation 16: Best=0.7083, Avg=0.6208
INFO:ga:Generation 17: Best=0.7083, Avg=0.6292
INFO:ga:Generation 18: Best=0.7083, Avg=0.6398
INFO:ga:Generation 19: Best=0.7083, Avg=0.6471
INFO:ga:Generation 20: Best=0.7500, Avg=0.6543
INFO:ga:Generation 21: Best=0.7500, Avg=0.6684
INFO:ga:Generation 22: Best=0.7500, Avg=0.6848
INFO:ga:Generation 23: Best=0.7917, Avg=0.6936
INFO:ga:Generation 24: Best=0.7917, Avg=0.7049
INFO:ga:Generation 25: Best=0.7917, Avg=0.7140
INFO:ga:Generation 26: Best=0.7917, Avg=0.7211
INFO:ga:Generation 27: Best=0.7917, Avg=0.7289
INFO:ga:Generation 28: Best=0.7917, Avg=0.7400
INFO:ga:Generation 29: Best=0.7917, Avg=0.7473
INFO:ga:Generation 30: Best=0.7917, Avg=0.7540
INFO:ga:Generation 31: Best=0.7917, Avg=0.7603
INFO:ga:Generation 32: Best=0.7917, Avg=0.7676
INFO:ga:Generation 33: Best=0.7917, Avg=0.7738
INFO:ga:Generation 34: Best=0.7917, Avg=0.7804
INFO:ga:Generation 35: Best=0.7917, Avg=0.7844
INFO:ga:Generation 36: Best=0.7917, Avg=0.7836
INFO:ga:Generation 37: Best=0.7917, Avg=0.7870
INFO:ga:Generation 38: Best=0.7917, Avg=0.7873
INFO:ga:Generation 39: Best=0.7917, Avg=0.7884
INFO:ga:Generation 40: Best=0.7917, Avg=0.7895
INFO:ga:Generation 41: Best=0.7917, Avg=0.7895
INFO:ga:Generation 42: Best=0.7917, Avg=0.7892
INFO:ga:Generation 43: Best=0.7917, Avg=0.7898
INFO:ga:Generation 44: Best=0.7917, Avg=0.7904
INFO:ga:Generation 45: Best=0.7917, Avg=0.7896
INFO:ga:Generation 46: Best=0.7917, Avg=0.7897
INFO:ga:Generation 47: Best=0.7917, Avg=0.7899
INFO:ga:Generation 48: Best=0.7917, Avg=0.7906
INFO:ga:Generation 49: Best=0.8333, Avg=0.7905
INFO:ga:Generation 50: Best=0.8333, Avg=0.7901
INFO:ga:Generation 51: Best=0.8333, Avg=0.7908
INFO:ga:Generation 52: Best=0.8333, Avg=0.7902
INFO:ga:Generation 53: Best=0.8333, Avg=0.7909
INFO:ga:Generation 54: Best=0.8333, Avg=0.7904
INFO:ga:Generation 55: Best=0.8333, Avg=0.7907
INFO:ga:Generation 56: Best=0.8333, Avg=0.7904
INFO:ga:Generation 57: Best=0.8333, Avg=0.7909
INFO:ga:Generation 58: Best=0.8333, Avg=0.7912
INFO:ga:Generation 59: Best=0.8333, Avg=0.7919
INFO:ga:Generation 60: Best=0.8333, Avg=0.7936
INFO:ga:Generation 61: Best=0.8333, Avg=0.7966
INFO:ga:Generation 62: Best=0.8333, Avg=0.8006
INFO:ga:Generation 63: Best=0.8333, Avg=0.8035
INFO:ga:Generation 64: Best=0.8333, Avg=0.8112
INFO:ga:Generation 65: Best=0.8333, Avg=0.8188
INFO:ga:Generation 66: Best=0.8333, Avg=0.8270
INFO:ga:Generation 67: Best=0.8333, Avg=0.8307
INFO:ga:Generation 68: Best=0.8333, Avg=0.8319
INFO:ga:Generation 69: Best=0.8333, Avg=0.8325
INFO:ga:Generation 70: Best=0.8333, Avg=0.8327
INFO:ga:Generation 71: Best=0.8333, Avg=0.8326
INFO:ga:Generation 72: Best=0.8333, Avg=0.8324
INFO:ga:Generation 73: Best=0.8333, Avg=0.8325
INFO:ga:Generation 74: Best=0.8333, Avg=0.8329
INFO:ga:Generation 75: Best=0.8333, Avg=0.8325
INFO:ga:Generation 76: Best=0.8333, Avg=0.8324
INFO:ga:Generation 77: Best=0.8333, Avg=0.8322
INFO:ga:Generation 78: Best=0.8333, Avg=0.8328
INFO:ga:Generation 79: Best=0.8333, Avg=0.8326
INFO:ga:Generation 80: Best=0.8333, Avg=0.8328
INFO:ga:Generation 81: Best=0.8333, Avg=0.8329
INFO:ga:Generation 82: Best=0.8333, Avg=0.8322
INFO:ga:Generation 83: Best=0.8333, Avg=0.8329
INFO:ga:Generation 84: Best=0.8333, Avg=0.8317
INFO:ga:Generation 85: Best=0.8333, Avg=0.8324
INFO:ga:Generation 86: Best=0.8333, Avg=0.8328
INFO:ga:Generation 87: Best=0.8333, Avg=0.8327
INFO:ga:Generation 88: Best=0.8333, Avg=0.8324
INFO:ga:Generation 89: Best=0.8333, Avg=0.8323
INFO:ga:Generation 90: Best=0.8333, Avg=0.8327
INFO:ga:Generation 91: Best=0.8333, Avg=0.8321
INFO:ga:Generation 92: Best=0.8333, Avg=0.8321
INFO:ga:Generation 93: Best=0.8333, Avg=0.8325
INFO:ga:Generation 94: Best=0.8333, Avg=0.8322
INFO:ga:Generation 95: Best=0.8333, Avg=0.8325
INFO:ga:Generation 96: Best=0.8333, Avg=0.8326
INFO:ga:Generation 97: Best=0.8333, Avg=0.8328
INFO:ga:Generation 98: Best=0.8333, Avg=0.8327
INFO:ga:Generation 99: Best=0.8333, Avg=0.8327
