INFO:__main__:Reading the dataset: fish part
INFO:__main__:Training the network
INFO:train:Epoch 51/100, Train Loss: 0.4292, Train Acc: 1.0000, Val Loss: 1.5510, Val Acc: 0.3333
INFO:train:Epoch 52/100, Train Loss: 0.4288, Train Acc: 1.0000, Val Loss: 1.5576, Val Acc: 0.3333
INFO:train:Epoch 53/100, Train Loss: 0.4286, Train Acc: 1.0000, Val Loss: 1.5533, Val Acc: 0.3333
INFO:train:Epoch 54/100, Train Loss: 0.4273, Train Acc: 1.0000, Val Loss: 1.5366, Val Acc: 0.3333
INFO:train:Epoch 55/100, Train Loss: 0.4276, Train Acc: 1.0000, Val Loss: 1.5219, Val Acc: 0.6667
INFO:train:Epoch 56/100, Train Loss: 0.4276, Train Acc: 1.0000, Val Loss: 1.5142, Val Acc: 0.6667
INFO:train:Epoch 57/100, Train Loss: 0.4283, Train Acc: 1.0000, Val Loss: 1.5125, Val Acc: 0.6667
INFO:train:Epoch 58/100, Train Loss: 0.4274, Train Acc: 1.0000, Val Loss: 1.5210, Val Acc: 0.6667
INFO:train:Epoch 59/100, Train Loss: 0.4280, Train Acc: 1.0000, Val Loss: 1.5379, Val Acc: 0.6667
INFO:train:Epoch 60/100, Train Loss: 0.4280, Train Acc: 1.0000, Val Loss: 1.5483, Val Acc: 0.6667
INFO:train:Epoch 61/100, Train Loss: 0.4280, Train Acc: 1.0000, Val Loss: 1.5456, Val Acc: 0.3333
INFO:train:Epoch 62/100, Train Loss: 0.4276, Train Acc: 1.0000, Val Loss: 1.5284, Val Acc: 0.3333
INFO:train:Epoch 63/100, Train Loss: 0.4275, Train Acc: 1.0000, Val Loss: 1.5173, Val Acc: 0.3333
INFO:train:Epoch 64/100, Train Loss: 0.4279, Train Acc: 1.0000, Val Loss: 1.5196, Val Acc: 0.3333
INFO:train:Epoch 65/100, Train Loss: 0.4280, Train Acc: 1.0000, Val Loss: 1.5305, Val Acc: 0.3333
INFO:train:Epoch 66/100, Train Loss: 0.4280, Train Acc: 1.0000, Val Loss: 1.5466, Val Acc: 0.3333
INFO:train:Epoch 67/100, Train Loss: 0.4274, Train Acc: 1.0000, Val Loss: 1.5623, Val Acc: 0.3333
INFO:train:Epoch 68/100, Train Loss: 0.4274, Train Acc: 1.0000, Val Loss: 1.5680, Val Acc: 0.3333
INFO:train:Epoch 69/100, Train Loss: 0.4278, Train Acc: 1.0000, Val Loss: 1.5565, Val Acc: 0.3333
INFO:train:Epoch 70/100, Train Loss: 0.4276, Train Acc: 1.0000, Val Loss: 1.5413, Val Acc: 0.3333
INFO:train:Epoch 71/100, Train Loss: 0.4275, Train Acc: 1.0000, Val Loss: 1.5332, Val Acc: 0.3333
INFO:train:Epoch 72/100, Train Loss: 0.4267, Train Acc: 1.0000, Val Loss: 1.5296, Val Acc: 0.6667
