Model,Top Features (m/z)
Transformer,"[813.100721668306, 688.309721851964, 97.0827787758509, 465.095828146169, 816.291746492999, 199.126256030661, 156.076506340609, 610.165253820651, 348.082454237614, 436.163397114964]"
MOE,"[359.191221018306, 357.127533754712, 421.161712491095, 143.079909729311, 302.065814231242, 241.108645656742, 444.12999991815, 529.133166811541, 95.0781322709861, 185.187849993543]"
LSTM,"[493.074509715276, 492.250651870967, 461.150116150247, 493.112188428706, 461.115297154719, 492.183458084705, 461.171836031155, 493.180997083619, 460.153348236915, 492.11705525079]"
CNN,"[939.386846150123, 940.389174095247, 688.184332080799, 688.121903491565, 160.080696083325, 221.046100400547, 220.200894922025, 517.188057402753, 182.116546630859, 159.143012019235]"
