Model,Top Features (m/z)
Transformer,"[298.143953902873, 739.08340823741, 162.073624288701, 187.165292549508, 167.156923724063, 524.080492776287, 299.105878398223, 171.067354688022, 243.094437917447, 435.173190102982]"
MOE,"[646.168874771055, 145.095152095118, 759.088271470093, 700.186782558001, 999.327622114446, 792.095687708004, 485.176602355205, 339.226677371084, 199.199554079579, 444.12999991815]"
LSTM,"[607.206544937124, 607.16444303979, 608.09967206965, 607.099480386794, 608.155309600383, 606.208988143114, 608.208209440173, 609.097952990017, 606.171429936428, 609.208573269788]"
CNN,"[424.120379329595, 660.176653702781, 660.110721447798, 423.17985710133, 187.094329994828, 967.404113769531, 187.075715611626, 424.194179028, 182.08447963434, 743.189191148087]"
