Model,Top Features (m/z)
Transformer,"[756.134030293853, 305.244996622363, 833.10729165898, 798.405700683594, 382.203520336614, 131.119458478183, 279.110751717805, 840.154440070001, 199.199554079579, 530.082010662831]"
MOE,"[544.093123191449, 97.1188962683379, 526.135669243998, 525.185164474482, 391.109750164938, 359.141181946043, 675.290589608175, 405.16579778695, 592.199716577982, 402.127286163186]"
LSTM,"[233.116455810339, 233.171590072917, 233.077716567273, 234.106979370117, 232.124642266916, 235.095649667455, 230.121754620843, 235.129819272928, 230.078576343682, 236.08402942263]"
CNN,"[281.125315621456, 823.102860612461, 166.095293325468, 99.0627291915571, 166.12657132023, 98.114101461123, 113.110229454725, 114.143013623397, 281.198026594706, 824.099574146551]"
