INFO:pre_training:Epoch [85/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [86/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [87/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [88/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [89/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [90/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [91/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [92/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [93/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [94/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [95/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [96/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [97/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [98/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [99/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [100/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [101/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [102/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [103/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [104/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [105/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [106/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [107/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [108/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [109/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [110/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [111/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [112/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [113/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [114/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [115/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [116/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [117/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [118/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [119/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [120/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [121/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [122/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [123/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [124/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [125/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [126/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [127/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [128/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [129/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [130/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [131/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [132/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [133/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [134/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [135/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [136/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [137/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [138/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [139/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [140/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [141/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [142/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [143/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [144/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [145/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [146/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [147/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [148/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [149/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [150/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [151/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [152/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [153/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [154/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [155/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [156/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [157/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [158/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [159/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [160/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [161/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [162/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [163/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [164/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [165/1000], Loss: 0.0001, Val: 0.0001
INFO:pre_training:Epoch [166/1000], Loss: 0.0001, Val: 0.0001
