INFO:__main__:Reading the dataset: fish part
INFO:__main__:Training the network
INFO:train:Epoch 1/100, Train Loss: 1.7558, Train Acc: 0.3194, Val Loss: 1.8495, Val Acc: 0.3333
INFO:train:Epoch 2/100, Train Loss: 1.5508, Train Acc: 0.7708, Val Loss: 1.8253, Val Acc: 0.3333
INFO:train:Epoch 3/100, Train Loss: 1.4778, Train Acc: 0.9167, Val Loss: 1.8162, Val Acc: 0.0000
INFO:train:Epoch 4/100, Train Loss: 1.4375, Train Acc: 0.9792, Val Loss: 1.8206, Val Acc: 0.0000
INFO:train:Epoch 5/100, Train Loss: 1.4250, Train Acc: 0.9653, Val Loss: 1.8577, Val Acc: 0.0000
INFO:train:Epoch 6/100, Train Loss: 1.4076, Train Acc: 1.0000, Val Loss: 1.9000, Val Acc: 0.0000
INFO:train:Epoch 7/100, Train Loss: 1.3981, Train Acc: 0.9931, Val Loss: 1.9127, Val Acc: 0.0000
INFO:train:Epoch 8/100, Train Loss: 1.3862, Train Acc: 1.0000, Val Loss: 1.9117, Val Acc: 0.0000
INFO:train:Epoch 9/100, Train Loss: 1.3834, Train Acc: 1.0000, Val Loss: 1.8960, Val Acc: 0.0000
INFO:train:Epoch 10/100, Train Loss: 1.3796, Train Acc: 1.0000, Val Loss: 1.8753, Val Acc: 0.0000
INFO:train:Epoch 11/100, Train Loss: 1.3773, Train Acc: 1.0000, Val Loss: 1.8633, Val Acc: 0.0000
INFO:train:Epoch 12/100, Train Loss: 1.3775, Train Acc: 1.0000, Val Loss: 1.8470, Val Acc: 0.0000
INFO:train:Epoch 13/100, Train Loss: 1.3737, Train Acc: 1.0000, Val Loss: 1.8306, Val Acc: 0.0000
INFO:train:Epoch 14/100, Train Loss: 1.3782, Train Acc: 1.0000, Val Loss: 1.8200, Val Acc: 0.0000
INFO:train:Epoch 15/100, Train Loss: 1.3745, Train Acc: 1.0000, Val Loss: 1.8181, Val Acc: 0.0000
INFO:train:Epoch 16/100, Train Loss: 1.3726, Train Acc: 1.0000, Val Loss: 1.8176, Val Acc: 0.0000
