Model,Top Features (m/z)
Transformer,"[253.227691650391, 425.189734028517, 830.166923594843, 594.09784824686, 778.114056862793, 747.189704356002, 705.187600672214, 223.099355280504, 855.378208058192, 321.179688886456]"
MOE,"[724.187632768683, 771.094720097851, 247.085219102173, 485.176602355205, 141.173690788788, 345.074428489097, 793.248979389131, 449.160028839427, 805.100873163174, 870.17180758027]"
LSTM,"[177.143216333596, 632.106879759074, 177.106170654297, 178.095743877168, 631.325691293256, 632.154835973931, 179.084793237404, 177.069763080486, 631.161335054077, 179.121383638676]"
CNN,"[391.109750164938, 124.090172413455, 124.063964050634, 391.149810951863, 787.106354063581, 390.150753054092, 113.110229454725, 115.08924881204, 115.054055196139, 113.085433959961]"
