INFO:__main__:Dataset: species
INFO:train:Epoch [42/10000], Train Loss: 111523.4824 	 Train Accuracy: 0.5107 	 Val Loss: 15455.1553 	 Val Accuracy: 0.3182
INFO:train:Epoch [43/10000], Train Loss: 112321.2188 	 Train Accuracy: 0.5241 	 Val Loss: 15443.0166 	 Val Accuracy: 0.2727
INFO:train:Epoch [44/10000], Train Loss: 111750.3438 	 Train Accuracy: 0.4077 	 Val Loss: 15442.7852 	 Val Accuracy: 0.2045
INFO:train:Epoch [45/10000], Train Loss: 112613.3008 	 Train Accuracy: 0.5611 	 Val Loss: 15445.2227 	 Val Accuracy: 0.2273
INFO:train:Epoch [46/10000], Train Loss: 111266.8867 	 Train Accuracy: 0.5014 	 Val Loss: 15435.7812 	 Val Accuracy: 0.2273
INFO:train:Epoch [47/10000], Train Loss: 111359.5547 	 Train Accuracy: 0.6136 	 Val Loss: 15426.2070 	 Val Accuracy: 0.1591
INFO:train:Epoch [48/10000], Train Loss: 110448.6953 	 Train Accuracy: 0.5455 	 Val Loss: 15425.4014 	 Val Accuracy: 0.2727
INFO:train:Epoch [49/10000], Train Loss: 111285.5391 	 Train Accuracy: 0.5462 	 Val Loss: 15413.2070 	 Val Accuracy: 0.2727
INFO:train:Epoch [50/10000], Train Loss: 112633.0488 	 Train Accuracy: 0.5064 	 Val Loss: 15415.1748 	 Val Accuracy: 0.2955
INFO:train:Epoch [51/10000], Train Loss: 111528.4941 	 Train Accuracy: 0.5462 	 Val Loss: 15407.1562 	 Val Accuracy: 0.2273
INFO:train:Epoch [52/10000], Train Loss: 112825.0820 	 Train Accuracy: 0.5391 	 Val Loss: 15396.5361 	 Val Accuracy: 0.2045
INFO:train:Epoch [53/10000], Train Loss: 111672.1758 	 Train Accuracy: 0.4936 	 Val Loss: 15385.9131 	 Val Accuracy: 0.2500
INFO:train:Epoch [54/10000], Train Loss: 110446.1289 	 Train Accuracy: 0.5376 	 Val Loss: 15391.0518 	 Val Accuracy: 0.2955
INFO:train:Epoch [55/10000], Train Loss: 110685.9355 	 Train Accuracy: 0.5227 	 Val Loss: 15364.9629 	 Val Accuracy: 0.2727
INFO:train:Epoch [56/10000], Train Loss: 113020.6445 	 Train Accuracy: 0.5455 	 Val Loss: 15379.7236 	 Val Accuracy: 0.3409
INFO:train:Epoch [57/10000], Train Loss: 110674.6973 	 Train Accuracy: 0.5554 	 Val Loss: 15371.7871 	 Val Accuracy: 0.3636
INFO:train:Epoch [58/10000], Train Loss: 111860.2383 	 Train Accuracy: 0.5149 	 Val Loss: 15371.0186 	 Val Accuracy: 0.2273
INFO:train:Epoch [59/10000], Train Loss: 111609.3730 	 Train Accuracy: 0.4844 	 Val Loss: 15346.3369 	 Val Accuracy: 0.2727
