INFO:ga:Generation 1: Best=0.2700, Avg=0.1667
INFO:ga:Generation 2: Best=0.2700, Avg=0.1855
INFO:ga:Generation 3: Best=0.2700, Avg=0.2003
INFO:ga:Generation 4: Best=0.2950, Avg=0.2136
INFO:ga:Generation 5: Best=0.3300, Avg=0.2253
INFO:ga:Generation 6: Best=0.3300, Avg=0.2374
INFO:ga:Generation 7: Best=0.3300, Avg=0.2504
INFO:ga:Generation 8: Best=0.3300, Avg=0.2604
INFO:ga:Generation 9: Best=0.3500, Avg=0.2706
INFO:ga:Generation 10: Best=0.3700, Avg=0.2825
INFO:ga:Generation 11: Best=0.3700, Avg=0.2940
INFO:ga:Generation 12: Best=0.3700, Avg=0.3058
INFO:ga:Generation 13: Best=0.3700, Avg=0.3176
INFO:ga:Generation 14: Best=0.3700, Avg=0.3283
INFO:ga:Generation 15: Best=0.3700, Avg=0.3371
INFO:ga:Generation 16: Best=0.3700, Avg=0.3433
INFO:ga:Generation 17: Best=0.3800, Avg=0.3486
INFO:ga:Generation 18: Best=0.3800, Avg=0.3519
INFO:ga:Generation 19: Best=0.3800, Avg=0.3552
INFO:ga:Generation 20: Best=0.3800, Avg=0.3583
INFO:ga:Generation 21: Best=0.3800, Avg=0.3599
INFO:ga:Generation 22: Best=0.3800, Avg=0.3631
INFO:ga:Generation 23: Best=0.3800, Avg=0.3643
INFO:ga:Generation 24: Best=0.3900, Avg=0.3669
INFO:ga:Generation 25: Best=0.4000, Avg=0.3686
INFO:ga:Generation 26: Best=0.4000, Avg=0.3709
INFO:ga:Generation 27: Best=0.4000, Avg=0.3738
INFO:ga:Generation 28: Best=0.4000, Avg=0.3763
INFO:ga:Generation 29: Best=0.4000, Avg=0.3766
INFO:ga:Generation 30: Best=0.4000, Avg=0.3774
INFO:ga:Generation 31: Best=0.4100, Avg=0.3785
INFO:ga:Generation 32: Best=0.4100, Avg=0.3817
INFO:ga:Generation 33: Best=0.4100, Avg=0.3832
INFO:ga:Generation 34: Best=0.4100, Avg=0.3851
INFO:ga:Generation 35: Best=0.4200, Avg=0.3877
INFO:ga:Generation 36: Best=0.4200, Avg=0.3906
INFO:ga:Generation 37: Best=0.4200, Avg=0.3919
INFO:ga:Generation 38: Best=0.4200, Avg=0.3939
INFO:ga:Generation 39: Best=0.4200, Avg=0.3986
INFO:ga:Generation 40: Best=0.4200, Avg=0.4015
INFO:ga:Generation 41: Best=0.4200, Avg=0.4051
INFO:ga:Generation 42: Best=0.4300, Avg=0.4082
INFO:ga:Generation 43: Best=0.4300, Avg=0.4108
INFO:ga:Generation 44: Best=0.4300, Avg=0.4136
INFO:ga:Generation 45: Best=0.4300, Avg=0.4159
INFO:ga:Generation 46: Best=0.4300, Avg=0.4175
INFO:ga:Generation 47: Best=0.4300, Avg=0.4195
INFO:ga:Generation 48: Best=0.4300, Avg=0.4207
INFO:ga:Generation 49: Best=0.4300, Avg=0.4222
INFO:ga:Generation 50: Best=0.4300, Avg=0.4247
INFO:ga:Generation 51: Best=0.4300, Avg=0.4263
INFO:ga:Generation 52: Best=0.4300, Avg=0.4278
INFO:ga:Generation 53: Best=0.4300, Avg=0.4290
INFO:ga:Generation 54: Best=0.4300, Avg=0.4289
INFO:ga:Generation 55: Best=0.4300, Avg=0.4294
INFO:ga:Generation 56: Best=0.4300, Avg=0.4287
INFO:ga:Generation 57: Best=0.4300, Avg=0.4289
INFO:ga:Generation 58: Best=0.4300, Avg=0.4291
INFO:ga:Generation 59: Best=0.4300, Avg=0.4292
INFO:ga:Generation 60: Best=0.4300, Avg=0.4294
INFO:ga:Generation 61: Best=0.4300, Avg=0.4290
INFO:ga:Generation 62: Best=0.4300, Avg=0.4291
INFO:ga:Generation 63: Best=0.4300, Avg=0.4295
INFO:ga:Generation 64: Best=0.4300, Avg=0.4296
INFO:ga:Generation 65: Best=0.4300, Avg=0.4292
INFO:ga:Generation 66: Best=0.4300, Avg=0.4293
INFO:ga:Generation 67: Best=0.4300, Avg=0.4291
INFO:ga:Generation 68: Best=0.4300, Avg=0.4294
INFO:ga:Generation 69: Best=0.4300, Avg=0.4294
INFO:ga:Generation 70: Best=0.4300, Avg=0.4297
INFO:ga:Generation 71: Best=0.4300, Avg=0.4296
INFO:ga:Generation 72: Best=0.4300, Avg=0.4294
INFO:ga:Generation 73: Best=0.4300, Avg=0.4293
INFO:ga:Generation 74: Best=0.4300, Avg=0.4293
INFO:ga:Generation 75: Best=0.4300, Avg=0.4294
INFO:ga:Generation 76: Best=0.4300, Avg=0.4289
INFO:ga:Generation 77: Best=0.4300, Avg=0.4292
INFO:ga:Generation 78: Best=0.4300, Avg=0.4292
