INFO:ga:Generation 1: Best=0.2800, Avg=0.1666
INFO:ga:Generation 2: Best=0.2800, Avg=0.1863
INFO:ga:Generation 3: Best=0.2800, Avg=0.2030
INFO:ga:Generation 4: Best=0.2800, Avg=0.2159
INFO:ga:Generation 5: Best=0.2800, Avg=0.2294
INFO:ga:Generation 6: Best=0.3100, Avg=0.2418
INFO:ga:Generation 7: Best=0.3400, Avg=0.2516
INFO:ga:Generation 8: Best=0.3400, Avg=0.2615
INFO:ga:Generation 9: Best=0.3400, Avg=0.2699
INFO:ga:Generation 10: Best=0.3400, Avg=0.2797
INFO:ga:Generation 11: Best=0.3400, Avg=0.2856
INFO:ga:Generation 12: Best=0.3400, Avg=0.2939
INFO:ga:Generation 13: Best=0.3600, Avg=0.3003
INFO:ga:Generation 14: Best=0.3967, Avg=0.3091
INFO:ga:Generation 15: Best=0.3967, Avg=0.3172
INFO:ga:Generation 16: Best=0.3967, Avg=0.3254
INFO:ga:Generation 17: Best=0.3967, Avg=0.3347
INFO:ga:Generation 18: Best=0.3967, Avg=0.3463
INFO:ga:Generation 19: Best=0.4000, Avg=0.3568
INFO:ga:Generation 20: Best=0.4100, Avg=0.3671
INFO:ga:Generation 21: Best=0.4100, Avg=0.3763
INFO:ga:Generation 22: Best=0.4100, Avg=0.3807
INFO:ga:Generation 23: Best=0.4100, Avg=0.3844
INFO:ga:Generation 24: Best=0.4300, Avg=0.3864
INFO:ga:Generation 25: Best=0.4300, Avg=0.3888
INFO:ga:Generation 26: Best=0.4300, Avg=0.3918
INFO:ga:Generation 27: Best=0.4300, Avg=0.3935
INFO:ga:Generation 28: Best=0.4400, Avg=0.3955
INFO:ga:Generation 29: Best=0.4400, Avg=0.3999
INFO:ga:Generation 30: Best=0.4417, Avg=0.4031
INFO:ga:Generation 31: Best=0.4417, Avg=0.4074
INFO:ga:Generation 32: Best=0.4417, Avg=0.4119
INFO:ga:Generation 33: Best=0.4417, Avg=0.4145
INFO:ga:Generation 34: Best=0.4500, Avg=0.4189
INFO:ga:Generation 35: Best=0.4600, Avg=0.4236
INFO:ga:Generation 36: Best=0.4600, Avg=0.4270
INFO:ga:Generation 37: Best=0.4600, Avg=0.4304
INFO:ga:Generation 38: Best=0.4600, Avg=0.4323
INFO:ga:Generation 39: Best=0.4600, Avg=0.4342
INFO:ga:Generation 40: Best=0.4600, Avg=0.4353
INFO:ga:Generation 41: Best=0.4700, Avg=0.4390
INFO:ga:Generation 42: Best=0.4700, Avg=0.4405
INFO:ga:Generation 43: Best=0.4700, Avg=0.4429
INFO:ga:Generation 44: Best=0.4700, Avg=0.4449
INFO:ga:Generation 45: Best=0.4700, Avg=0.4485
INFO:ga:Generation 46: Best=0.4700, Avg=0.4507
INFO:ga:Generation 47: Best=0.4700, Avg=0.4534
INFO:ga:Generation 48: Best=0.4700, Avg=0.4572
INFO:ga:Generation 49: Best=0.4700, Avg=0.4598
INFO:ga:Generation 50: Best=0.4700, Avg=0.4609
INFO:ga:Generation 51: Best=0.4700, Avg=0.4647
INFO:ga:Generation 52: Best=0.4700, Avg=0.4671
INFO:ga:Generation 53: Best=0.4700, Avg=0.4687
INFO:ga:Generation 54: Best=0.4700, Avg=0.4691
INFO:ga:Generation 55: Best=0.4700, Avg=0.4696
INFO:ga:Generation 56: Best=0.4700, Avg=0.4693
INFO:ga:Generation 57: Best=0.4700, Avg=0.4693
INFO:ga:Generation 58: Best=0.4700, Avg=0.4695
INFO:ga:Generation 59: Best=0.4700, Avg=0.4692
INFO:ga:Generation 60: Best=0.4700, Avg=0.4693
INFO:ga:Generation 61: Best=0.4700, Avg=0.4692
INFO:ga:Generation 62: Best=0.4700, Avg=0.4694
INFO:ga:Generation 63: Best=0.4700, Avg=0.4690
INFO:ga:Generation 64: Best=0.4700, Avg=0.4690
INFO:ga:Generation 65: Best=0.4700, Avg=0.4690
INFO:ga:Generation 66: Best=0.4700, Avg=0.4694
INFO:ga:Generation 67: Best=0.4700, Avg=0.4695
INFO:ga:Generation 68: Best=0.4700, Avg=0.4694
INFO:ga:Generation 69: Best=0.4700, Avg=0.4689
INFO:ga:Generation 70: Best=0.4700, Avg=0.4691
INFO:ga:Generation 71: Best=0.4700, Avg=0.4687
INFO:ga:Generation 72: Best=0.4700, Avg=0.4694
INFO:ga:Generation 73: Best=0.4700, Avg=0.4692
INFO:ga:Generation 74: Best=0.4700, Avg=0.4696
INFO:ga:Generation 75: Best=0.4700, Avg=0.4692
INFO:ga:Generation 76: Best=0.4700, Avg=0.4693
INFO:ga:Generation 77: Best=0.4700, Avg=0.4695
INFO:ga:Generation 78: Best=0.4700, Avg=0.4694
INFO:ga:Generation 79: Best=0.4700, Avg=0.4697
INFO:ga:Generation 80: Best=0.4700, Avg=0.4693
INFO:ga:Generation 81: Best=0.4700, Avg=0.4698
INFO:ga:Generation 82: Best=0.4700, Avg=0.4691
INFO:ga:Generation 83: Best=0.4700, Avg=0.4695
INFO:ga:Generation 84: Best=0.4700, Avg=0.4693
INFO:ga:Generation 85: Best=0.4700, Avg=0.4697
INFO:ga:Generation 86: Best=0.4700, Avg=0.4694
INFO:ga:Generation 87: Best=0.4700, Avg=0.4690
INFO:ga:Generation 88: Best=0.4700, Avg=0.4693
INFO:ga:Generation 89: Best=0.4700, Avg=0.4693
INFO:ga:Generation 90: Best=0.4700, Avg=0.4695
INFO:ga:Generation 91: Best=0.4700, Avg=0.4696
