INFO:ga:Generation 1: Best=0.2467, Avg=0.1663
INFO:ga:Generation 2: Best=0.2500, Avg=0.1827
INFO:ga:Generation 3: Best=0.2900, Avg=0.1999
INFO:ga:Generation 4: Best=0.2900, Avg=0.2133
INFO:ga:Generation 5: Best=0.3000, Avg=0.2255
INFO:ga:Generation 6: Best=0.3200, Avg=0.2386
INFO:ga:Generation 7: Best=0.3200, Avg=0.2509
INFO:ga:Generation 8: Best=0.3300, Avg=0.2635
INFO:ga:Generation 9: Best=0.3300, Avg=0.2725
INFO:ga:Generation 10: Best=0.3300, Avg=0.2860
INFO:ga:Generation 11: Best=0.3400, Avg=0.2980
INFO:ga:Generation 12: Best=0.3400, Avg=0.3066
INFO:ga:Generation 13: Best=0.3600, Avg=0.3135
INFO:ga:Generation 14: Best=0.3800, Avg=0.3192
INFO:ga:Generation 15: Best=0.3800, Avg=0.3246
INFO:ga:Generation 16: Best=0.3800, Avg=0.3293
INFO:ga:Generation 17: Best=0.3800, Avg=0.3328
INFO:ga:Generation 18: Best=0.3800, Avg=0.3389
INFO:ga:Generation 19: Best=0.3800, Avg=0.3458
INFO:ga:Generation 20: Best=0.3800, Avg=0.3519
INFO:ga:Generation 21: Best=0.3817, Avg=0.3603
INFO:ga:Generation 22: Best=0.3817, Avg=0.3638
INFO:ga:Generation 23: Best=0.4000, Avg=0.3687
INFO:ga:Generation 24: Best=0.4000, Avg=0.3738
INFO:ga:Generation 25: Best=0.4100, Avg=0.3768
INFO:ga:Generation 26: Best=0.4100, Avg=0.3799
INFO:ga:Generation 27: Best=0.4100, Avg=0.3821
INFO:ga:Generation 28: Best=0.4100, Avg=0.3855
INFO:ga:Generation 29: Best=0.4200, Avg=0.3878
INFO:ga:Generation 30: Best=0.4200, Avg=0.3920
INFO:ga:Generation 31: Best=0.4200, Avg=0.3957
INFO:ga:Generation 32: Best=0.4300, Avg=0.3988
INFO:ga:Generation 33: Best=0.4300, Avg=0.4013
INFO:ga:Generation 34: Best=0.4300, Avg=0.4031
INFO:ga:Generation 35: Best=0.4300, Avg=0.4054
INFO:ga:Generation 36: Best=0.4300, Avg=0.4077
INFO:ga:Generation 37: Best=0.4300, Avg=0.4106
INFO:ga:Generation 38: Best=0.4400, Avg=0.4128
INFO:ga:Generation 39: Best=0.4400, Avg=0.4148
INFO:ga:Generation 40: Best=0.4400, Avg=0.4160
INFO:ga:Generation 41: Best=0.4400, Avg=0.4177
INFO:ga:Generation 42: Best=0.4400, Avg=0.4192
INFO:ga:Generation 43: Best=0.4400, Avg=0.4205
INFO:ga:Generation 44: Best=0.4400, Avg=0.4219
INFO:ga:Generation 45: Best=0.4400, Avg=0.4243
INFO:ga:Generation 46: Best=0.4400, Avg=0.4259
INFO:ga:Generation 47: Best=0.4400, Avg=0.4273
INFO:ga:Generation 48: Best=0.4400, Avg=0.4287
INFO:ga:Generation 49: Best=0.4400, Avg=0.4303
INFO:ga:Generation 50: Best=0.4500, Avg=0.4318
INFO:ga:Generation 51: Best=0.4500, Avg=0.4342
INFO:ga:Generation 52: Best=0.4500, Avg=0.4363
INFO:ga:Generation 53: Best=0.4500, Avg=0.4383
INFO:ga:Generation 54: Best=0.4500, Avg=0.4393
INFO:ga:Generation 55: Best=0.4500, Avg=0.4404
INFO:ga:Generation 56: Best=0.4567, Avg=0.4420
INFO:ga:Generation 57: Best=0.4567, Avg=0.4436
INFO:ga:Generation 58: Best=0.4567, Avg=0.4461
INFO:ga:Generation 59: Best=0.4600, Avg=0.4482
INFO:ga:Generation 60: Best=0.4600, Avg=0.4493
INFO:ga:Generation 61: Best=0.4600, Avg=0.4493
INFO:ga:Generation 62: Best=0.4600, Avg=0.4507
INFO:ga:Generation 63: Best=0.4600, Avg=0.4514
INFO:ga:Generation 64: Best=0.4600, Avg=0.4527
INFO:ga:Generation 65: Best=0.4600, Avg=0.4536
INFO:ga:Generation 66: Best=0.4600, Avg=0.4569
INFO:ga:Generation 67: Best=0.4600, Avg=0.4579
INFO:ga:Generation 68: Best=0.4600, Avg=0.4586
INFO:ga:Generation 69: Best=0.4600, Avg=0.4592
INFO:ga:Generation 70: Best=0.4600, Avg=0.4591
INFO:ga:Generation 71: Best=0.4600, Avg=0.4595
INFO:ga:Generation 72: Best=0.4600, Avg=0.4598
INFO:ga:Generation 73: Best=0.4600, Avg=0.4593
INFO:ga:Generation 74: Best=0.4600, Avg=0.4594
INFO:ga:Generation 75: Best=0.4600, Avg=0.4596
INFO:ga:Generation 76: Best=0.4600, Avg=0.4594
INFO:ga:Generation 77: Best=0.4600, Avg=0.4594
INFO:ga:Generation 78: Best=0.4600, Avg=0.4592
INFO:ga:Generation 79: Best=0.4600, Avg=0.4593
INFO:ga:Generation 80: Best=0.4600, Avg=0.4595
INFO:ga:Generation 81: Best=0.4600, Avg=0.4598
INFO:ga:Generation 82: Best=0.4600, Avg=0.4594
INFO:ga:Generation 83: Best=0.4667, Avg=0.4591
INFO:ga:Generation 84: Best=0.4667, Avg=0.4596
INFO:ga:Generation 85: Best=0.4667, Avg=0.4595
INFO:ga:Generation 86: Best=0.4667, Avg=0.4595
INFO:ga:Generation 87: Best=0.4667, Avg=0.4592
INFO:ga:Generation 88: Best=0.4667, Avg=0.4595
INFO:ga:Generation 89: Best=0.4667, Avg=0.4595
INFO:ga:Generation 90: Best=0.4667, Avg=0.4597
INFO:ga:Generation 91: Best=0.4667, Avg=0.4597
INFO:ga:Generation 92: Best=0.4667, Avg=0.4596
INFO:ga:Generation 93: Best=0.4667, Avg=0.4598
INFO:ga:Generation 94: Best=0.4667, Avg=0.4599
INFO:ga:Generation 95: Best=0.4700, Avg=0.4598
INFO:ga:Generation 96: Best=0.4700, Avg=0.4600
INFO:ga:Generation 97: Best=0.4700, Avg=0.4600
INFO:ga:Generation 98: Best=0.4700, Avg=0.4603
INFO:ga:Generation 99: Best=0.4700, Avg=0.4604
INFO:ga:Generation 100: Best=0.4700, Avg=0.4610
INFO:ga:Best individual's training accuracy: 0.4700 test accuracy: 0.2308
