INFO:ga:Generation 1: Best=0.8372, Avg=0.5672
INFO:ga:Generation 2: Best=0.8372, Avg=0.6086
INFO:ga:Generation 3: Best=0.8372, Avg=0.6424
INFO:ga:Generation 4: Best=0.8488, Avg=0.6822
INFO:ga:Generation 5: Best=0.8837, Avg=0.7234
INFO:ga:Generation 6: Best=0.9070, Avg=0.7650
INFO:ga:Generation 7: Best=0.9070, Avg=0.7975
INFO:ga:Generation 8: Best=0.9419, Avg=0.8283
INFO:ga:Generation 9: Best=0.9419, Avg=0.8500
INFO:ga:Generation 10: Best=0.9535, Avg=0.8658
INFO:ga:Generation 11: Best=0.9535, Avg=0.8805
INFO:ga:Generation 12: Best=0.9651, Avg=0.8923
INFO:ga:Generation 13: Best=0.9884, Avg=0.9060
INFO:ga:Generation 14: Best=0.9884, Avg=0.9194
INFO:ga:Generation 15: Best=0.9884, Avg=0.9325
INFO:ga:Generation 16: Best=0.9884, Avg=0.9428
INFO:ga:Generation 17: Best=0.9884, Avg=0.9539
INFO:ga:Generation 18: Best=0.9884, Avg=0.9603
INFO:ga:Generation 19: Best=1.0000, Avg=0.9654
INFO:ga:Generation 20: Best=1.0000, Avg=0.9690
INFO:ga:Generation 21: Best=1.0000, Avg=0.9751
INFO:ga:Generation 22: Best=1.0000, Avg=0.9780
INFO:ga:Generation 23: Best=1.0000, Avg=0.9813
INFO:ga:Generation 24: Best=1.0000, Avg=0.9850
INFO:ga:Generation 25: Best=1.0000, Avg=0.9872
INFO:ga:Generation 26: Best=1.0000, Avg=0.9897
INFO:ga:Generation 27: Best=1.0000, Avg=0.9920
INFO:ga:Generation 28: Best=1.0000, Avg=0.9938
INFO:ga:Generation 29: Best=1.0000, Avg=0.9962
INFO:ga:Generation 30: Best=1.0000, Avg=0.9976
INFO:ga:Generation 31: Best=1.0000, Avg=0.9986
INFO:ga:Generation 32: Best=1.0000, Avg=0.9992
INFO:ga:Generation 33: Best=1.0000, Avg=0.9996
INFO:ga:Generation 34: Best=1.0000, Avg=0.9996
INFO:ga:Generation 35: Best=1.0000, Avg=0.9997
INFO:ga:Generation 36: Best=1.0000, Avg=0.9994
INFO:ga:Generation 37: Best=1.0000, Avg=0.9995
INFO:ga:Generation 38: Best=1.0000, Avg=0.9998
INFO:ga:Generation 39: Best=1.0000, Avg=0.9997
INFO:ga:Generation 40: Best=1.0000, Avg=0.9996
INFO:ga:Generation 41: Best=1.0000, Avg=0.9997
INFO:ga:Generation 42: Best=1.0000, Avg=0.9997
INFO:ga:Generation 43: Best=1.0000, Avg=0.9997
INFO:ga:Generation 44: Best=1.0000, Avg=0.9998
INFO:ga:Generation 45: Best=1.0000, Avg=0.9998
INFO:ga:Generation 46: Best=1.0000, Avg=0.9998
INFO:ga:Generation 47: Best=1.0000, Avg=0.9997
INFO:ga:Generation 48: Best=1.0000, Avg=0.9994
INFO:ga:Generation 49: Best=1.0000, Avg=0.9997
INFO:ga:Generation 50: Best=1.0000, Avg=0.9995
INFO:ga:Generation 51: Best=1.0000, Avg=0.9995
INFO:ga:Generation 52: Best=1.0000, Avg=0.9996
INFO:ga:Generation 53: Best=1.0000, Avg=0.9995
INFO:ga:Generation 54: Best=1.0000, Avg=0.9995
INFO:ga:Generation 55: Best=1.0000, Avg=0.9996
INFO:ga:Generation 56: Best=1.0000, Avg=0.9997
INFO:ga:Generation 57: Best=1.0000, Avg=0.9995
INFO:ga:Generation 58: Best=1.0000, Avg=0.9997
INFO:ga:Generation 59: Best=1.0000, Avg=0.9998
INFO:ga:Generation 60: Best=1.0000, Avg=0.9997
INFO:ga:Generation 61: Best=1.0000, Avg=0.9997
INFO:ga:Generation 62: Best=1.0000, Avg=0.9994
INFO:ga:Generation 63: Best=1.0000, Avg=0.9997
INFO:ga:Generation 64: Best=1.0000, Avg=0.9996
INFO:ga:Generation 65: Best=1.0000, Avg=0.9996
INFO:ga:Generation 66: Best=1.0000, Avg=0.9996
INFO:ga:Generation 67: Best=1.0000, Avg=0.9996
INFO:ga:Generation 68: Best=1.0000, Avg=0.9994
INFO:ga:Generation 69: Best=1.0000, Avg=0.9995
INFO:ga:Generation 70: Best=1.0000, Avg=0.9995
INFO:ga:Generation 71: Best=1.0000, Avg=0.9994
INFO:ga:Generation 72: Best=1.0000, Avg=0.9997
INFO:ga:Generation 73: Best=1.0000, Avg=0.9996
INFO:ga:Generation 74: Best=1.0000, Avg=0.9997
INFO:ga:Generation 75: Best=1.0000, Avg=0.9997
INFO:ga:Generation 76: Best=1.0000, Avg=0.9997
INFO:ga:Generation 77: Best=1.0000, Avg=0.9996
INFO:ga:Generation 78: Best=1.0000, Avg=0.9996
INFO:ga:Generation 79: Best=1.0000, Avg=0.9996
INFO:ga:Generation 80: Best=1.0000, Avg=0.9995
INFO:ga:Generation 81: Best=1.0000, Avg=0.9996
INFO:ga:Generation 82: Best=1.0000, Avg=0.9997
INFO:ga:Generation 83: Best=1.0000, Avg=0.9997
INFO:ga:Generation 84: Best=1.0000, Avg=0.9995
INFO:ga:Generation 85: Best=1.0000, Avg=0.9997
INFO:ga:Generation 86: Best=1.0000, Avg=0.9997
INFO:ga:Generation 87: Best=1.0000, Avg=0.9996
INFO:ga:Generation 88: Best=1.0000, Avg=0.9995
INFO:ga:Generation 89: Best=1.0000, Avg=0.9995
INFO:ga:Generation 90: Best=1.0000, Avg=0.9995
INFO:ga:Generation 91: Best=1.0000, Avg=0.9995
INFO:ga:Generation 92: Best=1.0000, Avg=0.9996
INFO:ga:Generation 93: Best=1.0000, Avg=0.9995
INFO:ga:Generation 94: Best=1.0000, Avg=0.9998
INFO:ga:Generation 95: Best=1.0000, Avg=0.9997
INFO:ga:Generation 96: Best=1.0000, Avg=0.9997
INFO:ga:Generation 97: Best=1.0000, Avg=0.9996
INFO:ga:Generation 98: Best=1.0000, Avg=0.9995
INFO:ga:Generation 99: Best=1.0000, Avg=0.9996
INFO:ga:Generation 100: Best=1.0000, Avg=0.9995
INFO:ga:Best individual's training accuracy: 1.0000 test accuracy: 1.0000
