INFO:ga:Generation 1: Best=0.6171, Avg=0.5760
INFO:ga:Generation 2: Best=0.6171, Avg=0.6119
INFO:ga:Generation 3: Best=0.6261, Avg=0.6151
INFO:ga:Generation 4: Best=0.6261, Avg=0.6166
INFO:ga:Generation 5: Best=0.6306, Avg=0.6195
INFO:ga:Generation 6: Best=0.6306, Avg=0.6221
INFO:ga:Generation 7: Best=0.6306, Avg=0.6253
INFO:ga:Generation 8: Best=0.6306, Avg=0.6274
INFO:ga:Generation 9: Best=0.6396, Avg=0.6287
INFO:ga:Generation 10: Best=0.6441, Avg=0.6317
INFO:ga:Generation 11: Best=0.6441, Avg=0.6343
INFO:ga:Generation 12: Best=0.6577, Avg=0.6365
INFO:ga:Generation 13: Best=0.6577, Avg=0.6391
INFO:ga:Generation 14: Best=0.6577, Avg=0.6430
INFO:ga:Generation 15: Best=0.6577, Avg=0.6470
INFO:ga:Generation 16: Best=0.6577, Avg=0.6490
INFO:ga:Generation 17: Best=0.6622, Avg=0.6520
INFO:ga:Generation 18: Best=0.6622, Avg=0.6526
INFO:ga:Generation 19: Best=0.6667, Avg=0.6557
INFO:ga:Generation 20: Best=0.6667, Avg=0.6573
INFO:ga:Generation 21: Best=0.6667, Avg=0.6583
INFO:ga:Generation 22: Best=0.6712, Avg=0.6611
INFO:ga:Generation 23: Best=0.6712, Avg=0.6649
INFO:ga:Generation 24: Best=0.6712, Avg=0.6670
INFO:ga:Generation 25: Best=0.6712, Avg=0.6679
INFO:ga:Generation 26: Best=0.6727, Avg=0.6695
INFO:ga:Generation 27: Best=0.6727, Avg=0.6694
INFO:ga:Generation 28: Best=0.6742, Avg=0.6709
INFO:ga:Generation 29: Best=0.6742, Avg=0.6712
INFO:ga:Generation 30: Best=0.6742, Avg=0.6711
INFO:ga:Generation 31: Best=0.6764, Avg=0.6699
INFO:ga:Generation 32: Best=0.6764, Avg=0.6720
INFO:ga:Generation 33: Best=0.6802, Avg=0.6729
INFO:ga:Generation 34: Best=0.6847, Avg=0.6750
INFO:ga:Generation 35: Best=0.6892, Avg=0.6769
INFO:ga:Generation 36: Best=0.6892, Avg=0.6801
INFO:ga:Generation 37: Best=0.6892, Avg=0.6816
INFO:ga:Generation 38: Best=0.6892, Avg=0.6836
INFO:ga:Generation 39: Best=0.6892, Avg=0.6851
INFO:ga:Generation 40: Best=0.6892, Avg=0.6855
INFO:ga:Generation 41: Best=0.6892, Avg=0.6869
INFO:ga:Generation 42: Best=0.6892, Avg=0.6880
INFO:ga:Generation 43: Best=0.6892, Avg=0.6887
INFO:ga:Generation 44: Best=0.6892, Avg=0.6882
INFO:ga:Generation 45: Best=0.6892, Avg=0.6885
INFO:ga:Generation 46: Best=0.6892, Avg=0.6888
INFO:ga:Generation 47: Best=0.6892, Avg=0.6869
INFO:ga:Generation 48: Best=0.6892, Avg=0.6886
INFO:ga:Generation 49: Best=0.6892, Avg=0.6873
INFO:ga:Generation 50: Best=0.6892, Avg=0.6877
INFO:ga:Generation 51: Best=0.6892, Avg=0.6886
INFO:ga:Generation 52: Best=0.6892, Avg=0.6880
INFO:ga:Generation 53: Best=0.6892, Avg=0.6883
INFO:ga:Generation 54: Best=0.6892, Avg=0.6886
INFO:ga:Generation 55: Best=0.6892, Avg=0.6885
INFO:ga:Generation 56: Best=0.6892, Avg=0.6890
INFO:ga:Generation 57: Best=0.6892, Avg=0.6878
INFO:ga:Generation 58: Best=0.6892, Avg=0.6881
INFO:ga:Generation 59: Best=0.6892, Avg=0.6865
INFO:ga:Generation 60: Best=0.6892, Avg=0.6879
INFO:ga:Generation 61: Best=0.6892, Avg=0.6880
INFO:ga:Generation 62: Best=0.6899, Avg=0.6885
INFO:ga:Generation 63: Best=0.6899, Avg=0.6883
INFO:ga:Generation 64: Best=0.6899, Avg=0.6888
INFO:ga:Generation 65: Best=0.6899, Avg=0.6885
INFO:ga:Generation 66: Best=0.6899, Avg=0.6880
INFO:ga:Generation 67: Best=0.6899, Avg=0.6889
INFO:ga:Generation 68: Best=0.6899, Avg=0.6887
INFO:ga:Generation 69: Best=0.6899, Avg=0.6887
INFO:ga:Generation 70: Best=0.6899, Avg=0.6888
INFO:ga:Generation 71: Best=0.6899, Avg=0.6882
INFO:ga:Generation 72: Best=0.6899, Avg=0.6892
INFO:ga:Generation 73: Best=0.6899, Avg=0.6890
INFO:ga:Generation 74: Best=0.6937, Avg=0.6891
INFO:ga:Generation 75: Best=0.6937, Avg=0.6893
INFO:ga:Generation 76: Best=0.6937, Avg=0.6894
INFO:ga:Generation 77: Best=0.6937, Avg=0.6901
INFO:ga:Generation 78: Best=0.6937, Avg=0.6894
INFO:ga:Generation 79: Best=0.6937, Avg=0.6920
INFO:ga:Generation 80: Best=0.6937, Avg=0.6921
INFO:ga:Generation 81: Best=0.6937, Avg=0.6930
INFO:ga:Generation 82: Best=0.6937, Avg=0.6927
INFO:ga:Generation 83: Best=0.6937, Avg=0.6931
INFO:ga:Generation 84: Best=0.6937, Avg=0.6931
INFO:ga:Generation 85: Best=0.6937, Avg=0.6933
INFO:ga:Generation 86: Best=0.6937, Avg=0.6928
INFO:ga:Generation 87: Best=0.6937, Avg=0.6936
INFO:ga:Generation 88: Best=0.6937, Avg=0.6935
